"","x"
"1","IGLC2"
"2","S100A4"
"3","S100A10"
"4","ARL4C"
"5","PTPRC"
"6","SLC2A3"
"7","ZEB2"
"8","LAPTM5"
"9","TUBA1A"
"10","HLA-DPA1"
"11","COTL1"
"12","CD99"
"13","FYB1"
"14","CD69"
"15","HLA-DPB1"
"16","ITGB2"
"17","CD3E"
"18","LCP1"
"19","SORL1"
"20","MYO1F"
"21","HCST"
"22","IL32"
"23","ANXA1"
"24","TMSB4X"
"25","ITM2B"
"26","IGLL5"
"27","MZB1"
"28","IGHA2"
"29","TNFRSF17"
"30","CCND1"
"31","LINC01781"
"32","MT-ND6"
"33","SSR3"
"34","JSRP1"
"35","JCHAIN"
"36","LAMP5"
"37","DERL3"
"38","HIST1H1C"
"39","SEC11C"
"40","LINC01480"
"41","FKBP2"
"42","DUSP5"
"43","HIST1H2AC"
"44","FKBP11"
"45","ITM2C"
"46","SRM"
"47","DNAJC1"
"48","CPEB4"
"49","MEF2C"
"50","PRDX4"
"51","CREB3L2"
"52","CLPTM1L"
"53","TPD52"
"54","POU2AF1"
"55","ZBTB38"
"56","PRDM1"
"57","COMMD3"
"58","FCRL5"
"59","MIR29B2CHG"
"60","MESD"
"61","CAV1"
"62","PLPP5"
"63","PARP1"
"64","GPR160"
"65","C11orf1"
"66","NME1"
"67","EAF2"
"68","SRPRB"
"69","CD320"
"70","TCF4"
"71","AIM2"
"72","CD38"
"73","C2orf88"
"74","SPATS2"
"75","GLCCI1"
"76","SDC1"
"77","VEGFB"
