"","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri"
"IGLC2",0.235097119892833,0.206892411143132,1761.56762598112,5343.61090342679,709.276407093292,0.687980217256911,0.0755180892167193,2264.2650181615,0.569021467798303,0.253306878306878,1556.72060620875,0.0857404860155892,583.395728220653,0.858651873242648,21.2311365807068,2.7646461225872,3555.81431861001,610.696439923713
"S100A4",3.76766577361018,5.61875600384246,13.0497099306109,7.48847352024922,10.449498843485,12.2186699637905,4.91581781992741,15.577675328304,7.6128307538692,9.15724206349206,13.1558298704473,8.36313617606602,12.5489404641776,1.91473516224637,21.8935052531041,7.12145840388306,6.5375758844463,2.62947658402204
"S100A10",1.74614869390489,2.3016330451489,4.50756455465817,3.22772585669782,3.20470316114109,5.16073478760046,1.78901767942864,3.94202291142777,1.56352970544184,3.06944444444444,9.98521143974578,2.61164603392939,3.2485704675412,2.30465840869367,6.18720152817574,2.9357715317756,1.07347707766381,0.687963551599915
"ARL4C",0.562541862022773,0.935518731988473,1.07120919121829,0.894080996884735,0.32112567463377,4.27695840325002,0.682238613745463,1.21709974853311,0.873689465801298,1.0026455026455,1.84563676362747,1.46423658872077,3.13235788765557,1.4058819059199,1.69770773638968,1.10813861609662,0.890517060916893,0.244543335452426
"PTPRC",1.3719022103148,2.51188760806916,2.99442611762029,2.5411214953271,2.61565150346954,5.29665283052195,0.967802365062639,3.46283878178262,1.94483275087369,1.78141534391534,2.31972622830604,1.92457588262265,3.33165153044063,0.344935025457862,2.53008595988539,2.34179930014674,1.62968390203056,0.608603517694427
"SLC2A3",0.29370395177495,0.349423631123919,1.38801046524855,0.416666666666667,0.5,1.66201536695222,0.205245287437068,1.73162894663314,0.488891662506241,0.391865079365079,0.761916401857736,0.70861989912884,1.41725529767911,0.0592750208982445,2.39111747851003,0.34529856642962,0.30730584048566,0.101928374655647
"ZEB2",0.592096450100469,1.01981268011527,2.05050619952224,1.02694704049844,1.33577486507325,1.82027731166652,0.64172813487882,1.9741547918413,0.863205192211682,0.932705026455027,1.41652407724273,1.43580926180651,2.32694248234107,0.168705828710388,4.65759312320917,1.04707077548256,0.88947037889889,0.268595041322314
"LAPTM5",2.16451774949766,1.07492795389049,2.13638948925037,1.29252336448598,2.03508095605243,2.85427890135123,1.04905748741365,2.6848281642917,0.88854218671992,1.37185846560847,1.68015155218773,2.26662081613939,2.39017827110663,0.251158902652177,5.66427889207259,1.22756518794446,0.770567301653758,0.357385039203221
"TUBA1A",0.455123911587408,0.770893371757925,1.36469116141508,0.685046728971963,0.948727833461835,2.09123023933587,0.545369394684463,1.52710254260967,0.503245132301548,0.981812169312169,0.968222928379369,1.16460339293902,1.45930036999664,0.180864807356182,1.80754536771729,0.917823682131166,0.541134603307515,0.214240305149396
"HLA-DPA1",1.07367716008038,1.48210854947166,2.87794335115459,3.01884735202492,1.06129529683886,2.50949395036651,1.06568317527222,1.74406258731489,0.797553669495756,1.13343253968254,1.56587631385969,1.43397524071527,2.85267406659939,0.175469260582111,3.8476599808978,1.71080257365391,0.581327192798828,0.84827293918203
"COTL1",1.02578700602813,1.40790105667627,2.70276419064953,2.01682242990654,3.41364687740941,2.47257793870882,0.743589743589744,2.72129086336966,0.96992011982027,1.35714285714286,1.91224639452457,1.61577258138469,2.29902455432223,0.233376396382704,5.10410697230181,1.49937916243368,0.561230898053172,0.469485060394151
"CD99",0.325100468854655,0.896133525456292,1.12706176771698,1.57601246105919,0.573245952197379,2.09608760929082,0.533895328415876,1.33794355965353,0.888666999500749,0.93452380952381,1.37839159129797,0.691425951398441,1.15085771947528,0.174405349950604,1.73352435530086,0.680663731798171,0.736026795059661,0.28766687857597
"FYB1",0.797471533824514,1.072646493756,1.75099533613923,1.26573208722741,1.14841942945258,2.18793605934823,0.441517386722866,1.20913663034367,0.744757863205192,0.809854497354497,1.05426546076754,1.07290233837689,1.46821392532795,0.127821263013907,0.630372492836676,1.04436166610227,0.580699183588026,0.307586353040898
"CD69",0.48719022103148,1.77173390970221,0.666932089637129,0.499221183800623,1.35659213569776,2.656363154641,0.981969324435078,2.19865884325231,0.543934098851722,1.48561507936508,1.65778538254705,3.2544704264099,3.61671712075345,0.334903868075082,2.54966571155683,1.33378485156338,2.33117019049613,0.535070989616444
"HLA-DPB1",1.15505693235097,1.53362151777137,2.18325560232056,1.9386292834891,0.708172706245181,2.45182372162854,0.955391640323147,2.06412405699916,0.920868696954568,0.930390211640212,1.28672696162307,1.57634112792297,2.66532122435251,0.139980241659701,3.64851957975167,1.39880347669037,0.62507850115135,0.454545454545455
"ITGB2",0.710063630274615,0.778097982708934,1.35650096689796,1.32881619937695,1.13878180416345,1.64744325708734,0.38555204308629,2.03967588711931,1.03007988017973,1.13723544973545,0.977633830359325,1.22237505731316,1.25243861419442,0.108974846112927,2.28080229226361,0.573653911276668,0.694159514339544,0.334392879847425
"CD3E",0.363780977896852,0.666546589817483,0.515754749175293,0.590031152647975,2.01040863531226,2.19244016603374,0.228193419974242,0.728136350936016,0.50698951572641,0.700562169312169,0.607430945978978,0.634800550206327,1.12125798856374,0.108442890797173,0.305157593123209,0.771193136922903,0.652082897215826,0.233206187751642
"LCP1",0.870060281312793,1.26332853025937,2.23785689910135,1.27679127725857,2.08057054741712,2.43416055815597,0.958084533426999,2.23093042749371,0.805541687468797,1.0271164021164,1.19310681984845,1.17904630903255,1.92045072317524,0.31628543202371,2.53772683858644,1.08973924822215,0.856395227129998,0.375079465988557
"SORL1",0.09268251841929,0.284822286263208,0.542714139460812,0.448753894080997,0.330763299922899,1.01148105625718,0.143777075283925,0.400111763062308,0.347603594608088,0.308035714285714,0.466756294304571,0.419990829894544,0.784729229734275,0.056539250702941,0.255014326647564,0.39236934191218,0.230270043960645,0.0643144734053825
"MYO1F",0.305509042196919,0.535062439961575,0.75964054146286,0.841121495327103,0.656900539707016,1.00167800052989,0.170003512469266,0.760687342833194,0.389665501747379,0.447751322751323,0.692740161329748,0.479138010087116,0.886814665321224,0.0702940952959951,0.880133715377268,0.525002821988938,0.251831693531505,0.140601822420004
"HCST",1.28039182853315,1.13640730067243,1.22784666135821,1.67866043613707,1.3484965304549,2.41278813035415,0.426647933497249,1.81782620843811,1.06565152271593,1.31613756613757,1.38279149352237,1.44773039889959,2.71846619576186,0.305950300174785,2.4054441260745,1.30037250253979,1.4285116181704,0.570777707141343
"IL32",1.16677829872739,2.2390730067243,1.30542600386759,2.3417445482866,16.9082498072475,5.03488474785834,0.527572883737267,1.89983235540654,1.34148776834748,1.85119047619048,1.46296748961134,0.638239339752407,2.05802219979818,0.498670111710616,0.508118433619866,2.51529518004289,1.17019049612728,0.825068870523416
"ANXA1",1.07510046885466,2.1366474543708,4.2478671368445,2.9309968847352,5.62683114880493,5.35176190055639,22.4735979393514,5.14501257334451,1.55766350474289,2.06316137566138,2.70190662429724,2.88147638697845,4.83753784056509,0.635230640626187,6.13085004775549,2.34371825262445,1.12685786058196,0.677368086458996
"TMSB4X",11.9659243134628,28.1617435158501,29.6002730064839,25.2059190031153,49.8411719352352,47.859577850393,180.798735511064,42.2820620284996,20.7080629056415,24.6471560846561,21.0069665118553,16.4509399358093,37.8247561385806,5.26696557489171,45.9317096466094,31.2999209843097,15.9595980741051,9.53549480822208
"ITM2B",2.4715338245144,5.72322286263208,4.1774542145376,7.25794392523365,3.81187355435621,4.10968824516471,4.75401006907856,5.85638446493434,5.79231153270095,4.82027116402116,5.42899046687851,2.46859238881247,3.70501177262025,0.43643133976746,4.18433619866285,3.99650073371712,8.50764077873142,4.11792752701844
"IGLL5",955.147605492297,0.121277617675312,0.0580138778295985,0.0138629283489097,0.24325366229761,0.0937913980393889,0.339070366467627,0.0691533948030176,0.13954068896655,0.394510582010582,0.0046443412368614,0.382393397524072,0.00353178607467205,0.276616764191808,0.00334288443170965,0.18297776272717,0.178982625078501,0.135198135198135
"MZB1",13.7103148024113,17.3274495677233,11.2949607553179,30.1291277258567,22.2636854279106,2.72498454473196,123.167427701674,15.839759709416,32.4157513729406,19.6140873015873,1.99376680518211,5.73979825767996,2.09737638748739,9.90234820275097,0.130850047755492,10.8101365842646,16.4664015072221,16.0922865013774
"IGHA2",0.0429504353650368,12.4690201729107,0.490046638607667,0.567445482866044,0.109483423284503,0.0713591804292149,1.05268703898841,8.70480581167924,0.0250873689465801,0.0259589947089947,0.0585431434857003,0.775103163686382,0.164984863773966,14.8273425032297,0.00143266475644699,0.146969183880799,1.0699183588026,0.116762025852935
"TNFRSF17",3.53365706630944,1.15489913544669,2.17563417131157,1.95654205607477,1.83577486507325,0.569813653625364,7.6103500761035,2.58424140821459,2.3854218671992,1.40575396825397,2.89929112686385,1.74873911049977,0.152875882946519,5.83030625427464,0.0143266475644699,3.05418218760582,3.46158676993929,14.7726213180759
"CCND1",0.0265405224380442,7.36251200768492,0.0123990444773063,0.00342679127725857,16.3442559753277,0.242338602843769,0.045662100456621,0.0164850516904163,4.6462805791313,0.0042989417989418,0.00183329259349792,0.00573131591013297,0.697443659603095,0.000531955315753477,0.0191021967526266,0.0139970651315047,0.725350638476031,1.30981140072049
"LINC01781",0.0536671131949096,2.5806916426513,0.0112615174610397,0.12601246105919,0.363145720894372,0.166122052459596,5.58131366350544,0.184129645152277,1.81128307538692,0.952215608465608,0.00855536543632364,0.00664832645575424,0.136898755465859,4.54958583478988,0.00716332378223496,1.46562817473756,1.48817249319657,3.12386098749735
"MT-ND6",1.20746818486269,5.88772814601345,1.08895461267205,0.888006230529595,3.27949113338473,0.363331272630928,0.993794637630254,0.74084939927354,1.70232151772341,0.466765873015873,0.887191395746761,0.65818431911967,0.677430205179953,1.53765483699369,0.263132760267431,0.504910260751778,1.36298932384342,2.771879635516
"SSR3",7.65539182853315,5.4978386167147,2.76339438061654,4.95420560747664,7.33307632999229,1.12019782743089,7.91406158529446,3.53171276892987,6.6900898652022,2.98809523809524,2.27817159618675,1.81591013296653,0.837369660275816,5.8575119689946,0.884909264565425,3.62919065357264,5.20703370316098,8.99756304301759
"JSRP1",0.122655726724715,5.32720941402498,0.0229780457285861,0.0158878504672897,7.36892829606785,0.0321469575200918,3.87085821332397,1.25384185526683,4.04980029955067,1.58085317460317,3.50537765827426,1.59880788629069,0.0221997981836529,0.607720951440079,0.0109837631327603,0.0190766452195507,0.00711743772241993,3.26679381224836
"JCHAIN",1.1757367716008,132.096181556196,1.21465134796951,3.31214953271028,124.943716268311,29.4686037269275,2.68820981149748,42.0695725062867,8.61907139291063,6.35846560846561,102.06098753361,1.60729023383769,39.803229061554,32.7843301162702,1.00811843361987,0.384016254656282,355.326355453213,59.6899766899767
"LAMP5",0.00678164768921634,0.728746397694525,0.0732567398475714,0.00389408099688474,0.591750192752506,0.0611145456151197,0.0475354173984311,1.42414082145851,0.0403145282076885,0.0201719576719577,0.00831092642385725,0.146263182026593,0.00874537504204507,2.7131240975758,0.0348615090735435,0.607292019415284,5.53276114716349,5.56876456876457
"DERL3",2.11110180843938,5.36443323727185,4.32578773745876,7.3088785046729,3.33346183500386,0.509317318731785,15.0018733169418,2.06873428331936,6.54717923115327,1.6020171957672,2.5032999266683,2.41494727189363,0.675580221997982,3.26187400258378,0.0721107927411652,2.33897731120894,3.88905170609169,2.13646959101505
"HIST1H1C",11.0416108506363,0.923030739673391,1.30826982140826,0.93816199376947,1.236700077101,0.407047602225559,13.2920032783046,1.13369656328583,0.723040439340988,3.84705687830688,1.02346614519677,0.656350298028427,0.284729229734275,1.8459609392811,1.26504297994269,6.28061857997517,0.916056102156165,3.49417249417249
"SEC11C",7.62047890154052,10.020292987512,6.87987714708224,11.6311526479751,11.414032382421,1.23827607524508,17.3028919330289,5.86588432523051,11.5274588117823,4.95039682539683,6.87008066487411,2.93626776707932,1.27480659266734,7.06869822934874,0.381566380133715,3.77604695789593,4.2865815365292,7.38080101716465
"LINC01480",0.0696584058941728,1.95196926032661,0.0685928790808782,1.89501557632399,1.58134155744025,0.209308487150049,6.65179721344105,0.670019558535904,0.810034947578632,2.50033068783069,0.21730628208262,0.209307657038056,0.0383451059535822,2.15609088836538,0.0143266475644699,0.719042781352297,3.39794850324471,1.65024369569824
"FKBP2",4.52997320830543,5.97922670509126,5.19099078603117,2.34190031152648,10.3215111796453,0.903559127439724,15.8330406275612,5.69516624755518,9.5937343984024,3.12152777777778,5.76607186506966,1.45552498853737,0.808610830810629,3.1592826202599,0.493791786055396,3.68495315498363,10.7879422231526,3.73193473193473
"DUSP5",1.98074346952445,0.763328530259366,0.546012967807985,0.652803738317757,1.11873554356207,0.229356177691425,2.15173867228662,0.421486448728695,0.396655017473789,1.25611772486772,0.484478122708384,0.365887207702889,0.247225025227043,2.86761911999392,0.217287488061127,1.83203521842194,1.70085827925476,3.73712650985378
