"","example_patient_A","example_patient_B"
"IGLC2",0.235097119892833,0.206892411143132
"S100A4",3.76766577361018,5.61875600384246
"S100A10",1.74614869390489,2.3016330451489
"ARL4C",0.562541862022773,0.935518731988473
"PTPRC",1.3719022103148,2.51188760806916
"SLC2A3",0.29370395177495,0.349423631123919
"ZEB2",0.592096450100469,1.01981268011527
"LAPTM5",2.16451774949766,1.07492795389049
"TUBA1A",0.455123911587408,0.770893371757925
"HLA-DPA1",1.07367716008038,1.48210854947166
"COTL1",1.02578700602813,1.40790105667627
"CD99",0.325100468854655,0.896133525456292
"FYB1",0.797471533824514,1.072646493756
"CD69",0.48719022103148,1.77173390970221
"HLA-DPB1",1.15505693235097,1.53362151777137
"ITGB2",0.710063630274615,0.778097982708934
"CD3E",0.363780977896852,0.666546589817483
"LCP1",0.870060281312793,1.26332853025937
"SORL1",0.09268251841929,0.284822286263208
"MYO1F",0.305509042196919,0.535062439961575
"HCST",1.28039182853315,1.13640730067243
"IL32",1.16677829872739,2.2390730067243
"ANXA1",1.07510046885466,2.1366474543708
"TMSB4X",11.9659243134628,28.1617435158501
"ITM2B",2.4715338245144,5.72322286263208
"IGLL5",955.147605492297,0.121277617675312
"MZB1",13.7103148024113,17.3274495677233
"IGHA2",0.0429504353650368,12.4690201729107
"TNFRSF17",3.53365706630944,1.15489913544669
"CCND1",0.0265405224380442,7.36251200768492
"LINC01781",0.0536671131949096,2.5806916426513
"MT-ND6",1.20746818486269,5.88772814601345
"SSR3",7.65539182853315,5.4978386167147
"JSRP1",0.122655726724715,5.32720941402498
"JCHAIN",1.1757367716008,132.096181556196
"LAMP5",0.00678164768921634,0.728746397694525
"DERL3",2.11110180843938,5.36443323727185
"HIST1H1C",11.0416108506363,0.923030739673391
"SEC11C",7.62047890154052,10.020292987512
"LINC01480",0.0696584058941728,1.95196926032661
"FKBP2",4.52997320830543,5.97922670509126
"DUSP5",1.98074346952445,0.763328530259366
"HIST1H2AC",4.86888814467515,0.76416906820365
"FKBP11",4.89484259879437,7.40417867435159
"ITM2C",3.34444072337575,1.85987031700288
"SRM",1.65011721366376,2.04658981748319
"DNAJC1",2.30760214333557,3.54839097022094
"CPEB4",1.05852310783657,0.68924111431316
"MEF2C",1.25544206296048,1.68443804034582
"PRDX4",2.77503348961822,4.38748799231508
"CREB3L2",2.6919792364367,0.823126801152738
"CLPTM1L",1.52988948425988,1.26885206532181
"TPD52",1.02762893503014,1.17639289145053
"POU2AF1",1.70805425318151,0.357949087415946
"ZBTB38",3.91049899531145,1.3364553314121
"PRDM1",2.13889819156062,1.93948126801153
"COMMD3",0.963831212324179,2.11887608069164
"FCRL5",0.717766242464836,0.742795389048991
"MIR29B2CHG",1.4014567983925,0.403458213256484
"MESD",3.34293369055593,0.710014409221902
"CAV1",0.127930341594106,0.472862632084534
"PLPP5",2.92782987273945,2.01224783861671
"PARP1",2.17900200937709,1.38124399615754
"GPR160",1.08322170127261,0.12536023054755
"C11orf1",0.84938044206296,0.519932756964457
"NME1",0.914768921634293,1.27101344860711
"EAF2",2.124079035499,0.546469740634006
"SRPRB",1.73233422638982,1.05655619596542
"CD320",0.702277294038848,1.04478866474544
"TCF4",1.31011386470194,0.896733909702209
"AIM2",0.2428834561286,0.382684918347743
"CD38",0.912257200267917,1.09053794428434
"C2orf88",0.965170797052914,0.319884726224784
"SPATS2",0.901791694574682,0.624399615754083
"GLCCI1",0.415354989953115,0.819164265129683
"SDC1",0.590924313462826,0.563280499519693
"VEGFB",0.5660582719357,0.334293948126801
