"","MM104_2_S18_L004_R1_001","MM109_S20_L005_R1_001","MM154_S20_L006_R1_001","MM116_S7_L003_R1_001","MM134_S15_L006_R1_001","MM141_S12_L004_R1_001"
"A1BG",0,2.61464703022485,11.1873926062921,0,0.929730712835142,0
"A1BG-AS1",0,27.453793817361,66.2956598891383,0,12.0864992668569,0
"A1CF",2.59084876200775,0,0,0,0,0
"A2M",0,33.3367496353669,23.6178288355055,24.6932901244577,5.11351892059328,113.491940612577
"A2M-AS1",0,26.1464703022485,3.31478299445692,0,4.18378820775814,0
"A2ML1",0,0,0,0,0,0
"A2ML1-AS1",0,0,0,0,0,0
"A2ML1-AS2",0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0
"A3GALT2",0,0,0.828695748614229,0,0.929730712835142,0
"A4GALT",279.811666296837,24.8391467871361,4.14347874307115,0,0,0
"A4GNT",0,0,0,0,0,0
"AAAS",380.854768015139,167.991071691947,202.616110536179,223.062720790934,167.816393666743,562.055324938475
"AACS",398.990709349193,183.678953873296,183.141760443745,204.954308032999,117.146069817228,183.748856229886
"AACSP1",0,0,0,0,0.464865356417571,0
"AADAC",0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0
"AADAT",0,0,0,0,0,0
"AAED1",36.2718826681085,132.039675026355,106.073055822621,138.282424696963,174.789374013007,0
"AAGAB",28.4993363820852,160.147130601272,269.326118299625,203.308088691368,331.448999125728,589.077215560518
"AAK1",722.846804600162,749.750035916977,370.42699963056,172.029921200389,311.459788799773,1021.42746551319
"AAMDC",0,21.570837999355,59.2517460259174,10.7004257205983,24.1729985337137,0
"AAMP",458.580230875371,343.172422717012,251.509159704419,390.153983966431,231.967812852368,5.40437812440842
"AANAT",0,0.653661757556213,1.24304362292134,16.4621934163051,2.32432678208786,0
"AAR2",0,134.65432205658,98.6147940850933,109.473586218429,92.5082059270967,10.8087562488168
"AARD",0,0,0,0,0,0
"AARS",502.624659829503,1736.77928982686,1010.59446543505,1314.50614429196,639.18986507416,686.356021799869
"AARS2",588.122668975759,125.503057450793,102.758272828164,230.470707828272,172.465047230919,659.334131177827
"AARSD1",20.726790096062,16.9952056964615,14.9165234750561,14.8159740746746,26.9621906722191,0
"AARSP1",0,0,0,0,0,0
"AASDH",0,46.4099847864911,87.8417493531083,63.3794446527747,56.2487081265261,0
"AASDHPPT",44.0444289541317,101.971234178769,255.238290573183,216.477843424412,495.081604584713,5.40437812440842
"AASS",0,38.5660436958166,89.9134887246439,115.235353914136,81.351437373075,172.940099981069
"AATBC",0,8.49760284823077,0,0,0.464865356417571,0
"AATF",494.85211354348,361.474951928586,263.939595933632,321.835881288765,304.021943097092,145.918209359027
"AATK",0,79.746734421858,0.828695748614229,26.3395094660882,0.929730712835142,0
"ABALON",0,13.0732351511243,4.55782661737826,9.87731604978308,1.39459606925271,0
"ABAT",0,45.1026612713787,26.9326118299625,25.5163997952729,17.6648835438677,0
"ABCA1",958.614041942867,345.133407989681,1389.72277042606,886.489115468031,258.46513816817,1469.99084983909
"ABCA10",0,41.1806907260414,106.901751571236,14.8159740746746,51.6000545623504,0
"ABCA11P",0,3.92197054533728,4.55782661737826,0,5.11351892059328,0
"ABCA12",0,0,0.828695748614229,0,0,0
"ABCA13",655.48473678796,1872.74093539855,25.6895682070411,22.2239611120119,5.11351892059328,0
"ABCA17P",0,0,1.65739149722846,22.2239611120119,0,0
"ABCA2",474.125323447418,191.52289496397,282.170902403145,293.850152481047,185.016411854193,178.344478105478
"ABCA3",549.259937545643,88.897999027645,77.4830524954304,180.261017908541,11.1567685540217,0
"ABCA4",0,0,0,0,0,0
"ABCA5",487.079567257457,282.381879264284,723.865736414529,277.387959064741,406.757186865375,0
"ABCA6",0,47.0636465440474,75.4113131238949,57.6176769570679,39.048689939076,0
"ABCA7",316.083548964945,839.955358459734,1013.4949005552,998.432030698906,307.740865948432,497.202787445574
"ABCA8",85.4980091462557,0,2.9004351201498,2.46932901244577,2.32432678208786,5.40437812440842
"ABCA9",18.1359413340542,15.0342204237929,31.9047863216478,0,22.778402464461,0
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",0,19.6098527266864,2.07173937153557,0,1.39459606925271,0
"ABCB10",826.480755080472,199.366836054645,84.5269663586514,60.0870059695137,151.546106192128,118.896318736985
"ABCB10P1",0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0
"ABCB11",0,12.4195733935681,18.231306469513,0,0,0
"ABCB4",41.453580192124,0.653661757556213,0.828695748614229,0,0,0
"ABCB5",0,0,0,0,0,0
"ABCB6",0,22.8781615144675,9.11565323475652,6.58487736652205,12.5513646232744,0
"ABCB7",0,93.4736313305385,145.436103881797,45.2710318948391,130.16229979692,502.607165569983
"ABCB8",440.444289541317,255.581747204479,216.289590388314,373.691790550126,302.627347027839,0
"ABCB9",54.4078240021627,44.4489995138225,48.0643534196253,629.678898173671,73.9135916703938,0
"ABCC1",792.799721174371,783.086785552343,439.623094639849,849.449180281344,445.341011448033,5.40437812440842
"ABCC10",77.7254628602325,343.826084474568,278.027423660074,564.653234179266,321.686826640959,0
"ABCC11",0,0,0.828695748614229,13.1697547330441,1.39459606925271,0
"ABCC12",0,0,0,0,0,0
"ABCC13",0,11.7659116360118,0.414347874307115,0,0,0
"ABCC2",0,29.4147790900296,46.821309796704,23.0470707828272,46.0216702853396,0
"ABCC3",0,22.2244997569112,2.07173937153557,0,0.929730712835142,302.645174966871
"ABCC4",310.90185144093,54.9075876347219,165.739149722846,27.9857288077187,53.9243813444383,0
"ABCC5",0,156.225160055935,153.72306136794,102.065599181092,208.724545031489,0
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",0,11.1122498784556,0,10.7004257205983,1.85946142567028,0
"ABCC6P1",0,2.61464703022485,0,0,0,0
"ABCC6P2",0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0
"ABCC9",0,0,0,0,0,0
"ABCD1",0,90.2053225427574,33.1478299445692,103.711818522722,28.8216520978894,0
"ABCD1P2",0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0
"ABCD2",49.2261264781472,66.6734992707337,91.9852280961795,32.9243868326103,71.1243995318884,0
"ABCD3",0,115.69813108745,94.8856632163292,65.8487736652205,65.08114989846,102.68318436376
"ABCD4",655.48473678796,111.776160542112,145.850451756104,179.437908237726,119.935261955733,0
"ABCE1",204.677052198612,166.030086419278,262.696552310711,173.676140542019,451.849126437879,97.2788062393515
"ABCF1",766.891233554294,530.773347135645,252.75220332734,435.425015861271,472.76806747667,81.0656718661263
"ABCF2",51.816975240155,223.552321084225,193.086109427115,495.512021830784,368.638227639134,0
"ABCF2P1",0,2.61464703022485,0,0,1.39459606925271,0
"ABCF2P2",0,0,0,0,0,0
"ABCF3",899.024520416689,470.636465440474,372.084391127789,713.636084596827,312.389519512608,691.760399924277
"ABCG1",7.77254628602325,38.5660436958166,151.651321996404,172.853030871204,6.508114989846,5.40437812440842
"ABCG2",0,20.2635144842426,842.783576340671,39.5092641991323,262.18406101951,189.153234354295
"ABCG4",0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0
"ABHD1",0,9.15126460578698,8.28695748614229,0,0.929730712835142,0
